[2022-11-11 20:18:22,132][main.py][line:1262][INFO] Namespace(task_type='ASTE', dataset_type='ASTE', data_path='./data', log_path='./log', save_model_path='./checkpoint/2022-11-11-20-18-22-', model_name='BMRC', work_nums=1, mode='train', bert_model_type='../../bert/bert-base-uncased', hidden_size=768, inference_beta=0.8, gpu=True, epoch_num=40, batch_size=2, learning_rate=0.001, tuning_bert_rate=1e-05, warm_up=0.1, beta=1, add_note='')
[2022-11-11 20:18:22,132][main.py][line:1264][INFO] loading data......
[2022-11-11 20:18:27,242][main.py][line:1289][INFO] initial optimizer......
[2022-11-11 20:18:27,257][main.py][line:1301][INFO] New model and optimizer from epoch 1
[2022-11-11 20:18:27,257][main.py][line:1311][INFO] begin training......
[2022-11-11 20:18:33,976][main.py][line:1321][INFO] train
[2022-11-11 20:18:51,138][main.py][line:1384][INFO] Epoch:[1/40]	 Batch:[100/460]	 Loss Sum:140.0329	 forward Loss:27.5937;29.2676	 backward Loss:39.459;40.5355	 Sentiment Loss:3.177	
[2022-11-11 20:19:06,358][main.py][line:1384][INFO] Epoch:[1/40]	 Batch:[200/460]	 Loss Sum:44.2372	 forward Loss:9.0882;11.8	 backward Loss:12.4757;9.3315	 Sentiment Loss:1.5418	
[2022-11-11 20:19:21,778][main.py][line:1384][INFO] Epoch:[1/40]	 Batch:[300/460]	 Loss Sum:73.8913	 forward Loss:15.2594;12.069	 backward Loss:21.192;22.6278	 Sentiment Loss:2.7431	
[2022-11-11 20:19:37,261][main.py][line:1384][INFO] Epoch:[1/40]	 Batch:[400/460]	 Loss Sum:88.1901	 forward Loss:18.6195;13.3245	 backward Loss:23.3996;30.2145	 Sentiment Loss:2.6319	
[2022-11-11 20:19:46,701][main.py][line:1395][INFO] dev
[2022-11-11 20:20:06,299][main.py][line:379][INFO] Triplet - Precision: 0.07667210427949085	Recall: 0.13946587495707455	F1: 0.09894691041763035
[2022-11-11 20:20:06,299][main.py][line:385][INFO] Aspect - Precision: 0.25974025889694724	Recall: 0.28673835022674427	F1: 0.27257190233687445
[2022-11-11 20:20:06,299][main.py][line:390][INFO] Opinion - Precision: 0.45874587307344594	Recall: 0.4124629067879439	F1: 0.4343745000542832
[2022-11-11 20:20:06,299][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.18506493446407488	Recall: 0.2043010745365553	F1: 0.19420733701650872
[2022-11-11 20:20:06,299][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.1092985316324657	Recall: 0.19881305578987224	F1: 0.1410521734862502
[2022-11-11 20:20:06,299][main.py][line:1402][INFO] test
[2022-11-11 20:20:34,427][main.py][line:379][INFO] Triplet - Precision: 0.07673568809167394	Recall: 0.1285714283090379	F1: 0.09610937154542168
[2022-11-11 20:20:34,427][main.py][line:385][INFO] Aspect - Precision: 0.2557651986252302	Recall: 0.29186602800988987	F1: 0.272625199888553
[2022-11-11 20:20:34,427][main.py][line:390][INFO] Opinion - Precision: 0.45435244064893326	Recall: 0.4367346929862557	F1: 0.44536890613696706
[2022-11-11 20:20:34,427][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.16561844829010808	Recall: 0.18899521485886311	F1: 0.17653581462891238
[2022-11-11 20:20:34,427][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.11936662592038169	Recall: 0.19999999959183673	F1: 0.1495037269170035
[2022-11-11 20:20:34,427][main.py][line:1407][INFO] Model saved after epoch 1
[2022-11-11 20:20:34,427][main.py][line:1321][INFO] train
[2022-11-11 20:20:50,110][main.py][line:1384][INFO] Epoch:[2/40]	 Batch:[100/460]	 Loss Sum:68.5823	 forward Loss:14.7684;15.0992	 backward Loss:17.9534;17.6247	 Sentiment Loss:3.1366	
[2022-11-11 20:21:05,400][main.py][line:1384][INFO] Epoch:[2/40]	 Batch:[200/460]	 Loss Sum:25.5599	 forward Loss:8.3922;4.779	 backward Loss:4.8818;6.1335	 Sentiment Loss:1.3735	
[2022-11-11 20:21:20,820][main.py][line:1384][INFO] Epoch:[2/40]	 Batch:[300/460]	 Loss Sum:45.3808	 forward Loss:6.7906;3.9615	 backward Loss:14.9869;18.0765	 Sentiment Loss:1.5653	
[2022-11-11 20:21:36,211][main.py][line:1384][INFO] Epoch:[2/40]	 Batch:[400/460]	 Loss Sum:49.309	 forward Loss:7.0401;7.2497	 backward Loss:17.2757;15.5356	 Sentiment Loss:2.2079	
[2022-11-11 20:21:45,701][main.py][line:1395][INFO] dev
[2022-11-11 20:22:00,453][main.py][line:379][INFO] Triplet - Precision: 0.7272726611570308	Recall: 0.02373887233311907	F1: 0.04597695000998531
[2022-11-11 20:22:00,453][main.py][line:385][INFO] Aspect - Precision: 0.7272726611570308	Recall: 0.028673835022674427	F1: 0.05517234042815249
[2022-11-11 20:22:00,453][main.py][line:390][INFO] Opinion - Precision: 0.9999999090909174	Recall: 0.03264094945803873	F1: 0.06321832922121953
[2022-11-11 20:22:00,453][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.7272726611570308	Recall: 0.028673835022674427	F1: 0.05517234042815249
[2022-11-11 20:22:00,453][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.7272726611570308	Recall: 0.02373887233311907	F1: 0.04597695000998531
[2022-11-11 20:22:00,453][main.py][line:1402][INFO] test
[2022-11-11 20:22:20,048][main.py][line:379][INFO] Triplet - Precision: 0.6538461286982258	Recall: 0.03469387748021658	F1: 0.06589137691558565
[2022-11-11 20:22:20,048][main.py][line:385][INFO] Aspect - Precision: 0.7826086616257103	Recall: 0.04306220085391818	F1: 0.08163255382285457
[2022-11-11 20:22:20,048][main.py][line:390][INFO] Opinion - Precision: 0.8846153505917173	Recall: 0.04693877541441066	F1: 0.08914719077889893
[2022-11-11 20:22:20,048][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.6956521436672981	Recall: 0.038277511870149494	F1: 0.07256225907942417
[2022-11-11 20:22:20,048][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.7307692026627229	Recall: 0.03877551012494794	F1: 0.07364331487002088
[2022-11-11 20:22:20,048][main.py][line:1321][INFO] train
[2022-11-11 20:22:35,473][main.py][line:1384][INFO] Epoch:[3/40]	 Batch:[100/460]	 Loss Sum:38.8956	 forward Loss:6.7628;5.5697	 backward Loss:8.6303;13.9852	 Sentiment Loss:3.9475	
[2022-11-11 20:22:50,962][main.py][line:1384][INFO] Epoch:[3/40]	 Batch:[200/460]	 Loss Sum:13.0599	 forward Loss:2.7068;4.2746	 backward Loss:1.1368;2.0885	 Sentiment Loss:2.8532	
[2022-11-11 20:23:06,822][main.py][line:1384][INFO] Epoch:[3/40]	 Batch:[300/460]	 Loss Sum:40.6974	 forward Loss:3.254;6.9295	 backward Loss:10.4077;19.5818	 Sentiment Loss:0.5244	
[2022-11-11 20:23:22,362][main.py][line:1384][INFO] Epoch:[3/40]	 Batch:[400/460]	 Loss Sum:47.7036	 forward Loss:4.1988;8.3513	 backward Loss:17.2839;15.1384	 Sentiment Loss:2.7313	
[2022-11-11 20:23:32,266][main.py][line:1395][INFO] dev
[2022-11-11 20:23:47,420][main.py][line:379][INFO] Triplet - Precision: 0.5059523779407596	Recall: 0.2522255185393902	F1: 0.33663321803019014
[2022-11-11 20:23:47,420][main.py][line:385][INFO] Aspect - Precision: 0.7659574413761884	Recall: 0.38709677280610477	F1: 0.5142852658167129
[2022-11-11 20:23:47,420][main.py][line:390][INFO] Opinion - Precision: 0.7692307642998029	Recall: 0.3560830849967861	F1: 0.4868149812428495
[2022-11-11 20:23:47,420][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.6170212722197073	Recall: 0.3118279558715844	F1: 0.41428526629299667
[2022-11-11 20:23:47,420][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.6249999962797619	Recall: 0.31157269937218784	F1: 0.41584113850846305
[2022-11-11 20:23:47,420][main.py][line:1402][INFO] test
[2022-11-11 20:24:06,419][main.py][line:379][INFO] Triplet - Precision: 0.6086956495274102	Recall: 0.28571428513119534	F1: 0.388888453009745
[2022-11-11 20:24:06,419][main.py][line:385][INFO] Aspect - Precision: 0.8472906362202431	Recall: 0.41148325260410706	F1: 0.5539448077464136
[2022-11-11 20:24:06,419][main.py][line:390][INFO] Opinion - Precision: 0.8302752255491962	Recall: 0.36938775434818827	F1: 0.5112990073816948
[2022-11-11 20:24:06,419][main.py][line:396][INFO] Aspect-Sentiment - Precision: 0.6699507356160063	Recall: 0.3253588508962707	F1: 0.43800277913440316
[2022-11-11 20:24:06,419][main.py][line:404][INFO] Aspect-Opinion - Precision: 0.7434782576370511	Recall: 0.3489795911245315	F1: 0.4749995638815705
[2022-11-11 20:24:06,419][main.py][line:1407][INFO] Model saved after epoch 3
[2022-11-11 20:24:06,419][main.py][line:1321][INFO] train
[2022-11-11 20:24:22,393][main.py][line:1384][INFO] Epoch:[4/40]	 Batch:[100/460]	 Loss Sum:38.1335	 forward Loss:5.0588;5.6522	 backward Loss:6.702;15.9778	 Sentiment Loss:4.7428	
[2022-11-11 20:24:38,631][main.py][line:1384][INFO] Epoch:[4/40]	 Batch:[200/460]	 Loss Sum:10.0477	 forward Loss:1.2989;3.1396	 backward Loss:1.1532;0.8751	 Sentiment Loss:3.5809	
[2022-11-11 20:24:54,354][main.py][line:1384][INFO] Epoch:[4/40]	 Batch:[300/460]	 Loss Sum:34.8637	 forward Loss:2.7345;4.162	 backward Loss:9.0696;18.6361	 Sentiment Loss:0.2615	
[2022-11-11 20:25:10,995][main.py][line:1384][INFO] Epoch:[4/40]	 Batch:[400/460]	 Loss Sum:37.2061	 forward Loss:2.7346;5.0263	 backward Loss:14.7538;12.4389	 Sentiment Loss:2.2525	
[2022-11-11 20:25:20,675][main.py][line:1395][INFO] dev
[2022-11-11 20:25:34,508][main.py][line:379][INFO] Triplet - Precision: 0.5723684172870499	Recall: 0.2581602366226699	F1: 0.35582779096826794
